Customer,Customer Code,Parent Co,Parent Co Number
KCMO-702503 Gregg Klice Comm Center,4836,City of Kansas City Missouri,730
KCMO-702560-Lakeside Nature Center,4778,City of Kansas City Missouri,730
KCMO-71740 Security,4816,City of Kansas City Missouri,730
KCMO-71750 Mail and Storeroom Servi,4817,City of Kansas City Missouri,730
KCMO-72105 Surplus Property Managem,4818,City of Kansas City Missouri,730
KCMO-801000 Directors Office,4837,City of Kansas City Missouri,730
KCMO-801040 Human Resources,4838,City of Kansas City Missouri,730
KCMO-8010-802360 Security Operation,4848,City of Kansas City Missouri,730
KCMO-801100-Water Consumer Services,4659,City of Kansas City Missouri,730
KCMO-801200 Laboratory Services,4839,City of Kansas City Missouri,730
KCMO-801320 Engineering - Overflow,4840,City of Kansas City Missouri,730
KCMO-801340 Engineering - Distribut,4841,City of Kansas City Missouri,730
KCMO-802000 Distrubtion - General S,4842,City of Kansas City Missouri,730
KCMO-802010 Distribution - Pipeline,4843,City of Kansas City Missouri,730
KCMO-802100 Supply - General Servic,4844,City of Kansas City Missouri,730
KCMO-802130 Wastewater Treatment -,4845,City of Kansas City Missouri,730
KCMO-802140 Wastewater Treatment -,4846,City of Kansas City Missouri,730
KCMO-802330 Stormwater Services,4847,City of Kansas City Missouri,730
KCMO-802545 Land Development,4850,City of Kansas City Missouri,730
KCMO-8110-802360 Security Operation,4849,City of Kansas City Missouri,730
KCMO-851000-OEM / Waste-4660,4660,City of Kansas City Missouri,730
KCMO-852225-OEM-4661,4661,City of Kansas City Missouri,730
KCMO-891000-Public Works Administra,4663,City of Kansas City Missouri,730
KCMO-891001-Public Works Contracts-,4664,City of Kansas City Missouri,730
KCMO-891015-Public Works Administra,4665,City of Kansas City Missouri,730
KCMO-891025-Public Works Program De,4771,City of Kansas City Missouri,730
KCMO-891200-Public Works City Archi,4666,City of Kansas City Missouri,730
KCMO-891270-Parking-4755,4755,City of Kansas City Missouri,730
KCMO-891300-Public Works Engineer o,4667,City of Kansas City Missouri,730
KCMO-891310-Public Works Transporat,4668,City of Kansas City Missouri,730
KCMO-891318-Public Works-Transit Op,4632,City of Kansas City Missouri,730
KCMO-891334 Public Works Right of W,4803,City of Kansas City Missouri,730
KCMO-891500-Capital Projects Office,4684,City of Kansas City Missouri,730
KCMO-891500-Public Works Central Fl,4687,City of Kansas City Missouri,730
KCMO-891520-CPO Capitol Projects In,4787,City of Kansas City Missouri,730
KCMO-891525-Public Inspections -478,4789,City of Kansas City Missouri,730
KCMO-891550 Materials Lab,4851,City of Kansas City Missouri,730
KCMO-891560-Public Works Design-479,4790,City of Kansas City Missouri,730
KCMO-891570-CPO Capital Projects Mn,4788,City of Kansas City Missouri,730
KCMO-891900-Public Works-4669,4669,City of Kansas City Missouri,730
KCMO-891920-Public Works Motor Equi,4670,City of Kansas City Missouri,730
KCMO-891935-Public Works-4671,4671,City of Kansas City Missouri,730
KCMO-891960-Public Works Motor Equi,4672,City of Kansas City Missouri,730
KCMO-892000-Public Works Streets &,4673,City of Kansas City Missouri,730
KCMO-892006-Public Works Street Mai,4674,City of Kansas City Missouri,730
Abate of Kansas,9503,,
Able Printing Company,9504,,
Academic Employees Credit Union,915,,
Accelerated Claims,3821,,
KCMO-892007-Public WorksStreet Main,4675,City of Kansas City Missouri,730
KCMO-892008-Public Works Street Mai,4676,City of Kansas City Missouri,730
KCMO-892013-Public Works-4677,4677,City of Kansas City Missouri,730
KCMO-892020-Public Works Street Sig,4678,City of Kansas City Missouri,730
KCMO-892021 Traffic Engineering,4852,City of Kansas City Missouri,730
KCMO-892030-Public Works Street Sig,4679,City of Kansas City Missouri,730
KCMO-892031-Public Works-4680,4680,City of Kansas City Missouri,730
KCMO-892050 Tow Service,4853,City of Kansas City Missouri,730
KCMO-892060-Public Works-Street Cut,4681,City of Kansas City Missouri,730
KCMO-892080-Public Works Streets &,4682,City of Kansas City Missouri,730
KCMO-892200-Public Works Street Lig,4683,City of Kansas City Missouri,730
KCMO-892301-PW Residential Refuse C,4791,City of Kansas City Missouri,730
KCMO-892304-Public Works Bulky Item,4792,City of Kansas City Missouri,730
